Ano,Município,Grau Instrução,Salário,SaldoMov
2007,350920,02,-175300,-238
2007,350920,03,-285578,-457
2007,350920,04,-155954,-103
2007,350920,05,-386653,-501
2007,350920,06,-60355,114
2007,350920,07,490726,1058
2007,350920,08,-9916,87
2007,350920,09,-229886,85
2007,350950,01,11582,24
2007,350950,02,81475,285
2007,350950,03,-492601,-394
2007,350950,04,-669065,-232
2007,350950,05,-1631588,30
2007,350950,06,-203204,1391
2007,350950,07,5222330,12848
2007,350950,08,289085,942
2007,350950,09,549102,2378
2007,351060,01,400,4
2007,351060,02,-93495,-206
2007,351060,03,-26493,23
2007,351060,04,108263,411
2007,351060,05,307430,804
2007,351060,06,120273,307
2007,351060,07,758125,1512
2007,351060,08,48979,49
2007,351060,09,-15157,68
2007,351300,01,16622,24
2007,351300,02,88502,128
2007,351300,03,-66641,-6
2007,351300,04,-123434,-2
2007,351300,05,-82036,87
2007,351300,06,89456,279
2007,351300,07,1765312,3505
2007,351300,08,213305,336
2007,351300,09,457353,594
2007,351350,01,9092,10
2007,351350,02,-32246,-1
2007,351350,03,-67206,-62
2007,351350,04,-267460,-65
2007,351350,05,-147559,42
2007,351350,06,-56373,145
2007,351350,07,-54437,900
2007,351350,08,-108154,-7
2007,351350,09,-382720,75
2007,351380,01,8781,10
2007,351380,02,-243209,-215
2007,351380,03,-111225,-9
2007,351380,04,-474137,-291
2007,351380,05,-465060,187
2007,351380,06,-147110,252
2007,351380,07,2720300,5259
2007,351380,08,10525,242
2007,351380,09,-422312,150
2007,351500,01,-8736,-13
2007,351500,02,456631,881
2007,351500,03,138749,179
2007,351500,04,71642,240
2007,351500,05,244619,513
2007,351500,06,182145,355
2007,351500,07,1035090,1743
2007,351500,08,36505,84
2007,351500,09,57253,124
2007,351620,01,-12239,-7
2007,351620,02,-148635,-202
2007,351620,03,-295745,-433
2007,351620,04,-727173,-723
2007,351620,05,-417535,28
2007,351620,06,-490941,-139
2007,351620,07,877845,2787
2007,351620,08,-44115,164
2007,351620,09,82638,225
2007,351840,01,-1682,-3
2007,351840,02,-31511,-22
2007,351840,03,-236329,-179
2007,351840,04,-180970,-177
2007,351840,05,-416362,-91
2007,351840,06,-92062,-35
2007,351840,07,85289,915
2007,351840,08,14617,59
2007,351840,09,25632,175
2007,351870,01,12481,21
2007,351870,02,-109528,-109
2007,351870,03,-149358,-149
2007,351870,04,-134214,38
2007,351870,05,-33189,106
2007,351870,06,28557,209
2007,351870,07,609153,1503
2007,351870,08,-32475,69
2007,351870,09,139274,69
2007,351880,01,15916,39
2007,351880,02,-243955,-115
2007,351880,03,-433176,-135
2007,351880,04,-678830,209
2007,351880,05,-901415,798
2007,351880,06,-403151,872
2007,351880,07,4738005,12609
2007,351880,08,-201927,547
2007,351880,09,465479,1326
2007,351907,01,6658,12
2007,351907,02,-12862,6
2007,351907,03,-1575,26
2007,351907,04,155441,243
2007,351907,05,-38651,132
2007,351907,06,-22273,94
2007,351907,07,742225,1057
2007,351907,08,94583,42
2007,351907,09,1574826,749
