Ano,Município,Raça Cor,Salário,SaldoMov
2007,352050,06,-50515,0
2007,352050,08,388581,665
2007,352050,09,3303712,2241
2007,352050,{ñ,-2537,-2
2007,352250,01,-3682,-1
2007,352250,02,171373,581
2007,352250,04,40389,108
2007,352250,06,18712,10
2007,352250,08,412706,704
2007,352250,09,133521,182
2007,352250,{ñ,19,0
2007,352310,01,-91034,-10
2007,352310,02,-252258,794
2007,352310,04,105763,203
2007,352310,06,1947,4
2007,352310,08,123038,508
2007,352310,09,157978,169
2007,352310,{ñ,55474,61
2007,352340,01,-805,2
2007,352340,02,45604,1122
2007,352340,04,53510,151
2007,352340,06,1545,0
2007,352340,08,137228,314
2007,352340,09,87979,64
2007,352340,{ñ,-1862,0
2007,352390,01,9024,14
2007,352390,02,2147601,2986
2007,352390,04,119963,201
2007,352390,06,21997,19
2007,352390,08,185295,317
2007,352390,09,74693,98
2007,352390,{ñ,8298,7
2007,352440,01,-16952,-8
2007,352440,02,-271148,1040
2007,352440,04,14716,90
2007,352440,06,8156,7
2007,352440,08,104735,304
2007,352440,09,32919,86
2007,352440,{ñ,15982,27
2007,352470,01,-6242,-3
2007,352470,02,-1754572,1959
2007,352470,04,7357,248
2007,352470,06,-46056,1
2007,352470,08,226786,543
2007,352470,09,187378,208
2007,352470,{ñ,-1030,-2
2007,352590,01,-16166,23
2007,352590,02,1590856,7680
2007,352590,04,428178,759
2007,352590,06,-89122,14
2007,352590,08,993400,1919
2007,352590,09,858445,935
2007,352590,{ñ,51197,49
2007,352690,01,6413,9
2007,352690,02,-454738,1719
2007,352690,04,221751,434
2007,352690,06,-7373,12
2007,352690,08,206387,562
2007,352690,09,381754,670
2007,352690,{ñ,576,5
2007,352730,01,-131,5
2007,352730,02,626988,903
2007,352730,04,-26496,-35
2007,352730,06,900,1
2007,352730,08,52246,127
2007,352730,09,202848,293
2007,352730,{ñ,12762,28
2007,352900,01,18962,11
2007,352900,02,104698,1257
2007,352900,04,67707,118
2007,352900,06,-30643,-3
2007,352900,08,66261,293
2007,352900,09,36577,53
2007,352900,{ñ,-1282,-4
2007,352940,01,-9878,-17
2007,352940,02,-1108212,597
2007,352940,04,47970,89
2007,352940,06,-21750,-6
2007,352940,08,595787,1059
2007,352940,09,143845,252
2007,352940,{ñ,-1926,1
2007,353060,01,11935,23
2007,353060,02,1043109,2779
2007,353060,04,193021,404
2007,353060,06,-114187,-60
2007,353060,08,1442800,2821
2007,353060,09,133371,207
2007,353060,{ñ,-3992,-17
2007,353070,01,-14452,-27
2007,353070,02,-412200,1280
2007,353070,04,51571,169
2007,353070,06,-2304,3
2007,353070,08,12703,68
2007,353070,09,46736,113
2007,353070,{ñ,-29313,-40
2007,353080,01,37672,29
2007,353080,02,34312,941
2007,353080,04,63019,129
2007,353080,06,5403,5
2007,353080,08,119224,260
2007,353080,09,-3993,-34
2007,353080,{ñ,-4509,-7
2007,353440,01,37550,52
2007,353440,02,344937,6312
2007,353440,04,242613,525
2007,353440,06,-101445,48
2007,353440,08,1012252,2362
2007,353440,09,12431,358
2007,353440,{ñ,-1044,2
2007,353650,01,1411,4
2007,353650,02,19763,973
2007,353650,04,208135,183
2007,353650,06,-24766,-8
2007,353650,08,630246,833
2007,353650,09,-8797,22
2007,353650,{ñ,385,1
2007,353800,01,2040,8
2007,353800,02,711287,1186
2007,353800,04,89817,123
2007,353800,06,30862,26
2007,353800,08,120590,297
2007,353800,09,225264,259
2007,353800,{ñ,827,3
2007,353870,01,-31376,-18
2007,353870,02,2380283,5770
2007,353870,04,455123,907
2007,353870,06,-227658,-113
2007,353870,08,251012,841
2007,353870,09,-45835,607
2007,353870,{ñ,11058,11
2007,353980,01,-27537,-57
2007,353980,02,2281267,1997
2007,353980,04,83196,164
2007,353980,06,-22910,-6
2007,353980,08,217621,779
2007,353980,09,-40123,-186
